iter	RMSE
0	1050.312013
1	1005.183116
2	962.5005826
3	922.143326
4	883.8022907
5	847.5695318
6	812.9365625
7	780.3398424
8	749.5383452
9	720.4415589
10	692.9989894
11	666.9249275
12	642.2654738
13	619.0700709
14	597.0807681
15	576.5469107
16	557.0358536
17	538.5090267
18	521.1001631
19	504.8972756
20	489.5856549
21	475.384218
22	462.0780766
23	449.3069037
24	437.6519129
25	426.6578233
26	416.3975994
27	406.7179432
28	397.6851921
29	389.3072694
30	381.3947868
31	374.1483989
32	367.3016001
33	360.9223754
34	355.0093954
35	349.4965064
36	344.3214688
37	339.5017201
38	335.0175393
39	330.8977098
40	327.0545111
41	323.4172
42	320.0564446
43	316.8038153
44	313.9830071
45	311.2901381
46	308.7362999
47	306.3788659
48	304.2308244
49	302.2581824
50	300.3230694
51	298.5992636
52	296.9752508
53	294.7790252
54	293.0719603
55	291.2034678
56	289.5041631
57	288.3006774
58	286.6579541
59	285.2198622
60	283.9720958
61	282.6505084
62	281.7303019
63	280.6789064
64	279.852144
65	279.1069724
66	278.1126213
67	277.3230459
68	276.6972824
69	275.8969342
70	275.326513
71	274.6106282
72	273.8998469
73	273.3998999
74	272.8731396
75	272.4123404
76	271.9519196
77	271.5382166
78	271.1164491
79	270.7492063
80	270.3472855
81	269.9280188
82	269.5920142
83	269.2372335
84	268.8433232
85	268.4786207
86	268.1252263
87	267.7854883
88	267.4735828
89	267.132153
90	266.8658202
91	266.5433777
92	266.2718744
93	266.0317492
94	265.6601513
95	265.3874289
96	265.1619624
97	264.942328
98	264.6677587
99	264.4020834
100	264.1918933
101	263.946043
102	263.7362254
103	263.471559
104	263.3184559
105	263.0611659
106	262.8707051
107	262.6742251
108	262.5372761
109	262.3937905
110	262.1432223
111	261.9855779
112	261.8262997
113	261.682349
114	261.5067079
115	261.3658885
116	261.2360109
117	261.0736235
118	260.7934486
119	260.6068214
120	260.4239196
121	260.2871311
122	260.1708339
123	260.0413693
124	259.896579
125	259.704435
126	259.5122078
127	259.4174346
128	259.2782772
129	259.1031346
130	258.9904811
131	258.7730005
132	258.657982
133	258.5226009
134	258.3856497
135	258.2545984
136	258.0638812
137	257.9582931
138	257.803524
139	257.6478179
140	257.4953355
141	257.305087
142	257.1887679
143	257.0586202
144	256.7890596
145	256.6844988
146	256.5905457
147	256.3331381
148	256.1662848
149	256.0293212
150	255.8741632
151	255.7136004
152	255.5382062
153	255.3660455
154	255.2087149
155	255.1101051
156	254.9518207
157	254.8236525
158	254.6668392
159	254.4394884
160	254.2852563
161	254.1760552
162	254.114715
163	253.9882186
164	253.7956812
165	253.599529
166	253.4504993
167	253.3171131
168	253.185584
169	253.04078
170	252.9494859
171	252.7853914
172	252.6549729
173	252.5602138
174	252.470469
175	252.4014332
176	252.2881078
177	252.2109067
178	252.1288601
179	252.0462418
180	251.9306011
181	251.835504
182	251.7244216
183	251.6173476
184	251.4597795
185	251.3647815
186	251.1198839
187	251.0460498
188	250.8070558
189	250.7085804
190	250.5827653
191	250.3431821
192	250.274305
193	250.2041176
194	250.0864887
195	249.934195
196	249.8098971
197	249.7471683
198	249.6612492
199	249.543742
200	249.4417777
201	249.3213187
202	249.2316453
203	249.0989763
204	249.0177833
205	248.9526592
206	248.7264809
207	248.6587879
208	248.5398337
209	248.4125698
210	248.3444976
211	248.20378
212	248.0784577
213	247.8099574
214	247.7169612
215	247.4389872
216	247.3586473
217	247.1454277
218	247.0191465
219	246.8112931
220	246.6875719
221	246.6017616
222	246.5187604
223	246.4350337
224	246.3556395
225	246.1503553
226	246.0151915
227	245.9430647
228	245.8662892
229	245.7977891
230	245.7228197
231	245.6509676
232	245.5858805
233	245.4716008
234	245.4142168
235	245.1826884
236	245.111532
237	245.0363503
238	244.9183882
239	244.7773811
240	244.6886964
241	244.4941703
242	244.3702921
243	244.1069728
244	243.9838245
245	243.9434292
246	243.8907209
247	243.7091801
248	243.5966096
249	243.418533
250	243.3401442
251	243.2812872
252	243.2124721
253	243.1533677
254	243.0415376
255	242.9229164
256	242.8530115
257	242.7337467
258	242.6581496
259	242.4144711
260	242.3571516
261	242.1801267
262	242.0713673
263	242.0295815
264	241.9824923
265	241.8922306
266	241.8335218
267	241.69128
268	241.6185457
269	241.5559065
270	241.4735412
271	241.3978813
272	241.3445168
273	241.2238934
274	241.1063397
275	240.9902393
276	240.9152064
277	240.848631
278	240.7426253
279	240.6694024
280	240.4663127
281	240.3933196
282	240.3224738
283	240.2009227
284	240.1479241
285	240.1027401
286	239.9476701
287	239.884516
288	239.8434077
289	239.7335282
290	239.6439451
291	239.5778442
292	239.5139042
293	239.4431213
294	239.3465654
295	239.294064
296	239.1897126
297	239.0937123
298	239.0470102
299	238.9858401
300	238.7973282
301	238.71221
302	238.6425763
303	238.5593786
304	238.5176244
305	238.4455281
306	238.3798449
307	238.2330024
308	238.0830833
309	238.0383627
310	237.9913443
311	237.9351088
312	237.8949342
313	237.7474708
314	237.6635762
315	237.6190765
316	237.4823366
317	237.4068745
318	237.3251742
319	237.2644942
320	237.149351
321	237.0881323
322	236.948089
323	236.8961673
324	236.8312022
325	236.7574344
326	236.6563706
327	236.6161937
328	236.5541408
329	236.4913041
330	236.3261786
331	236.2781218
332	236.2083483
333	236.0804129
334	235.9924798
335	235.9394686
336	235.8806767
337	235.7565552
338	235.7102406
339	235.6589418
340	235.5372324
341	235.4806041
342	235.3954434
343	235.2457463
344	235.1980904
345	235.1563178
346	235.0405298
347	234.9718294
348	234.8593428
349	234.7977449
350	234.6876332
351	234.6091116
352	234.5017565
353	234.4419946
354	234.4058784
355	234.3424333
356	234.2895053
357	234.185328
358	234.1289425
359	233.998067
360	233.8998709
361	233.8544422
362	233.8143221
363	233.7343962
364	233.6750566
365	233.5757846
366	233.5208937
367	233.4557504
368	233.410462
369	233.3784147
370	233.2919139
371	233.1673361
372	233.1231382
373	233.0237994
374	232.9507942
375	232.8553786
376	232.8054949
377	232.7290359
378	232.637083
379	232.5891995
380	232.4944835
381	232.4589026
382	232.3603954
383	232.3356971
384	232.2790224
385	232.180437
386	232.1586877
387	232.1184331
388	232.0303292
389	231.9426493
390	231.8471976
391	231.7587345
392	231.6769601
393	231.6404194
394	231.5749616
395	231.5043065
396	231.436931
397	231.3760083
398	231.2910515
399	231.2341188
400	231.1406489
401	231.0636374
402	230.9789743
403	230.9217225
404	230.8418668
405	230.7860576
406	230.722501
407	230.6815747
408	230.6042061
409	230.5526629
410	230.4746608
411	230.4469041
412	230.3864605
413	230.3559709
414	230.2661961
415	230.1682282
416	230.1001589
417	230.0240242
418	229.9813958
419	229.9360607
420	229.9020788
421	229.8418461
422	229.7676594
423	229.6995759
424	229.6786007
425	229.6000112
426	229.5104838
427	229.4640235
428	229.3915504
429	229.292155
430	229.2150492
431	229.1455646
432	229.0848109
433	229.0388913
434	228.9460331
435	228.9088224
436	228.8742563
437	228.7922442
438	228.7448865
439	228.7099789
440	228.6788317
441	228.6264619
442	228.5586738
443	228.4926194
444	228.4301205
445	228.3666169
446	228.3021485
447	228.2464105
448	228.2092033
449	228.1594739
450	228.1078804
451	228.0449904
452	227.9778569
453	227.9181444
454	227.8803731
455	227.8251553
456	227.7663728
457	227.6834999
458	227.6369027
459	227.588331
460	227.528468
461	227.4656266
462	227.405565
463	227.3181344
464	227.2439029
465	227.1862451
466	227.1288789
467	227.0851855
468	227.0510251
469	227.0056052
470	226.9493016
471	226.8713837
472	226.8318583
473	226.7771675
474	226.7496858
475	226.6737964
476	226.5987685
477	226.5597757
478	226.5050713
479	226.4593045
480	226.4168736
481	226.3342805
482	226.2816606
483	226.2235421
484	226.1653821
485	226.1119488
486	226.0631903
487	226.0110605
488	225.9355498
489	225.9035228
490	225.8600547
491	225.7838985
492	225.7455733
493	225.6929856
494	225.6722694
495	225.5984829
496	225.5622307
497	225.4876096
498	225.4591451
499	225.4092848
