iter	Passed	Remaining
0	171	85725
1	262	65418
2	413	68509
3	876	108727
4	1062	105231
5	1308	107727
6	1545	108864
7	1712	105331
8	1935	105586
9	2164	106071
10	2368	105295
11	2573	104668
12	2759	103367
13	2953	102514
14	3158	102128
15	3366	101825
16	3557	101076
17	3770	100953
18	4010	101532
19	4196	100710
20	4426	100959
21	4746	103120
22	4970	103087
23	5239	103923
24	5444	103452
25	5725	104374
26	5907	103491
27	6113	103049
28	6341	102998
29	6554	102683
30	6752	102160
31	6977	102042
32	7192	101786
33	7405	101505
34	7615	101180
35	7883	101604
36	8149	101981
37	8381	101904
38	8658	102353
39	8936	102774
40	9223	103252
41	9510	103713
42	9805	104209
43	10121	104894
44	10491	106078
45	10845	107038
46	11158	107550
47	11445	107777
48	11700	107694
49	11935	107417
50	12177	107211
51	12393	106776
52	12631	106536
53	12910	106632
54	13131	106241
55	13395	106203
56	13631	105939
57	13891	105859
58	14137	105672
59	14365	105345
60	14593	105027
61	14859	104974
62	15142	105036
63	15396	104885
64	15636	104647
65	15903	104574
66	16122	104194
67	16423	104338
68	16670	104133
69	16890	103757
70	17171	103751
71	17451	103740
72	17718	103639
73	18042	103865
74	18263	103495
75	18535	103407
76	18807	103319
77	19062	103135
78	19325	102985
79	19548	102631
80	19778	102310
81	20099	102459
82	20372	102353
83	20666	102350
84	20914	102112
85	21138	101758
86	21394	101563
87	21665	101435
88	21941	101324
89	22187	101078
90	22450	100904
91	22730	100802
92	22975	100548
93	23248	100413
94	23564	100460
95	23892	100549
96	24149	100332
97	24416	100157
98	24759	100289
99	25109	100439
100	25410	100385
101	25667	100152
102	25890	99793
103	26090	99343
104	26378	99234
105	26690	99209
106	26947	98974
107	27250	98908
108	27500	98646
109	27775	98475
110	27993	98104
111	28216	97748
112	28447	97425
113	28722	97255
114	28929	96850
115	29204	96675
116	29424	96322
117	29627	95912
118	29889	95697
119	30105	95335
120	30376	95145
121	30597	94803
122	30841	94530
123	31095	94288
124	31305	93917
125	31542	93625
126	31815	93443
127	32109	93318
128	32374	93106
129	32631	92874
130	32919	92727
131	33247	92690
132	33507	92460
133	33751	92186
134	34081	92145
135	34344	91921
136	34526	91482
137	34799	91286
138	35043	91012
139	35319	90822
140	35557	90533
141	35776	90196
142	36047	89993
143	36286	89708
144	36510	89388
145	36771	89157
146	37096	89083
147	37326	88777
148	37636	88661
149	37886	88402
150	38102	88065
151	38377	87864
152	38648	87652
153	38967	87550
154	39393	87682
155	39679	87498
156	39888	87145
157	40212	87041
158	40484	86826
159	40742	86578
160	41008	86346
161	41266	86098
162	41540	85884
163	41754	85546
164	41960	85192
165	42193	84894
166	42443	84632
167	42716	84416
168	42919	84061
169	43123	83711
170	43382	83467
171	43626	83194
172	43869	82921
173	44161	82738
174	44408	82473
175	44715	82317
176	45021	82157
177	45280	81912
178	45670	81901
179	45939	81669
180	46202	81428
181	46472	81198
182	46690	80879
183	46940	80615
184	47220	80402
185	47484	80162
186	47721	79875
187	47963	79598
188	48216	79340
189	48417	78996
190	48680	78754
191	48898	78442
192	49168	78211
193	49484	78052
194	49820	77924
195	50189	77844
196	50498	77669
197	50810	77499
198	51082	77265
199	51305	76958
200	51580	76729
201	51871	76523
202	52045	76145
203	52378	76000
204	52605	75700
205	52789	75339
206	52955	74956
207	53200	74684
208	53536	74540
209	53810	74309
210	54137	74150
211	54428	73940
212	54733	73748
213	55069	73597
214	55468	73527
215	55834	73411
216	56139	73213
217	56390	72946
218	56642	72678
219	56899	72417
220	57262	72291
221	57566	72087
222	57898	71918
223	58254	71778
224	58584	71603
225	58853	71353
226	59134	71117
227	59390	70851
228	59558	70481
229	59819	70222
230	60055	69934
231	60325	69685
232	60546	69382
233	60856	69179
234	61131	68935
235	61346	68624
236	61547	68299
237	61837	68073
238	62209	67936
239	62498	67706
240	62766	67454
241	63001	67166
242	63253	66897
243	63464	66585
244	63704	66304
245	63975	66055
246	64249	65809
247	64454	65494
248	64734	65254
249	64948	64948
250	65279	64759
251	65532	64492
252	65775	64215
253	66005	63927
254	66279	63680
255	66524	63406
256	66881	63238
257	67146	62982
258	67386	62703
259	67635	62433
260	68010	62277
261	68322	62064
262	68644	61857
263	68878	61572
264	69138	61311
265	69393	61045
266	69653	60784
267	69966	60567
268	70200	60283
269	70496	60052
270	70707	59749
271	70987	59504
272	71258	59251
273	71532	59001
274	71799	58745
275	72113	58526
276	72455	58330
277	72789	58126
278	73051	57865
279	73216	57527
280	73493	57277
281	73719	56988
282	74007	56748
283	74300	56510
284	74777	56411
285	75071	56172
286	75293	55879
287	75553	55615
288	75833	55366
289	76161	55151
290	76431	54893
291	76671	54615
292	76934	54352
293	77129	54043
294	77368	53764
295	77545	53443
296	77796	53173
297	78057	52911
298	78331	52657
299	78593	52395
300	78874	52146
301	79076	51844
302	79353	51592
303	79601	51321
304	79867	51062
305	80142	50809
306	80336	50504
307	80541	50207
308	80735	49904
309	81001	49646
310	81299	49406
311	81562	49146
312	81813	48878
313	82019	48585
314	82321	48347
315	82616	48105
316	82827	47815
317	83175	47603
318	83431	47338
319	83673	47066
320	83981	46830
321	84231	46562
322	84461	46283
323	84717	46019
324	84996	45767
325	85272	45513
326	85560	45265
327	85886	45037
328	86150	44777
329	86430	44524
330	86679	44256
331	86978	44013
332	87198	43729
333	87421	43449
334	87723	43207
335	88002	42953
336	88260	42689
337	88563	42447
338	88821	42183
339	89036	41899
340	89280	41629
341	89510	41352
342	89737	41075
343	89981	40805
344	90375	40603
345	90612	40330
346	90882	40072
347	91171	39822
348	91397	39544
349	91645	39276
350	91896	39010
351	92180	38757
352	92402	38479
353	92594	38188
354	92855	37927
355	93021	37626
356	93247	37351
357	93457	37069
358	93685	36795
359	93941	36532
360	94187	36266
361	94462	36010
362	94720	35748
363	95106	35534
364	95502	35322
365	95838	35088
366	96178	34855
367	96445	34594
368	96704	34331
369	97021	34088
370	97301	33832
371	97584	33577
372	97910	33336
373	98154	33068
374	98463	32821
375	98827	32592
376	99111	32336
377	99512	32117
378	99798	31861
379	100044	31592
380	100316	31332
381	100602	31076
382	100944	30836
383	101197	30570
